SCALE,DPAWREGION,COMMUNITYNAME,COMMUNITYID,DESC,KNOWNOCC_NUM,KNOWNOCC_CAT,KNOWNOCC_NUMRELIAB,KNOWNOCC_TREND,KNOWNOCC_TRENDRELIAB,KNOWNOCC_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,DEGABIOTIC_EXTENTCAT,DEGABIOTIC_EXTENTTREND,DEGABIOTIC_SEVERITYCAT,DEGABIOTIC_SEVERITYTREND,DEGABIOTIC_RELIAB,DEGABIOTIC_NOTES,DEGBIOTIC_EXTENTCAT,DEGBIOTIC_EXTENTTREND,DEGBIOTIC_SEVERITYCAT,DEGBIOTIC_SEVERITYTREND,DEGBIOTIC_RELIAB,DEGBIOTIC_NOTES,BIOTICCOMP,ABIOTICCOMP,WETLAND,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTINGREASON,ENDEMISM,TENURE,MOSTRECENTSURVEY_COND,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,TT_LAST_UPDATED,TT_CHANGECONSSTATUS
WAR01,Warren,"Dense heath B of Spyridium globulosum, Banksia occidentalis, Olearia axillaris, Melaleuca pauciflora, Pericalymma spongiocaule and Jacksonia horrida with tall open sedges of Ficinia nodosa",Black Point Banksia occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify):,grazing by rabbits & excavation of warrens,Invasive/introduced herbivores (specify):,grazing by rabbits & excavation of warrens,,,,,,,,,,,MD vi) Habitat restoration (specify),ameliorate wind erosion,,,,,,,,,,
WAR01,Warren,"Dense heath B of Spyridium globulosum, Banksia occidentalis, Olearia axillaris, Melaleuca pauciflora, Pericalymma spongiocaule and Jacksonia horrida with tall open sedges of Ficinia nodosa",Black Point Banksia occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erosion,wind erosion initaited by grazing & recreation,Erosion,"wind erosion initaited by grazing, recreation & fire",,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,"Dense heath B of Spyridium globulosum, Banksia occidentalis, Olearia axillaris, Melaleuca pauciflora, Pericalymma spongiocaule and Jacksonia horrida with tall open sedges of Ficinia nodosa",Black Point Banksia occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adverse management fire (specify):,DEC incompatible activities: suppression action to protect toilet during bushfire,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,"Dense heath B of Spyridium globulosum, Banksia occidentalis, Olearia axillaris, Melaleuca pauciflora, Pericalymma spongiocaule and Jacksonia horrida with tall open sedges of Ficinia nodosa",Black Point Banksia occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetation dieback (specify):,Pc dieback,,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,"Dense heath B of Spyridium globulosum, Banksia occidentalis, Olearia axillaris, Melaleuca pauciflora, Pericalymma spongiocaule and Jacksonia horrida with tall open sedges of Ficinia nodosa",Black Point Banksia occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tourism development,,,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,"Dense heath B of Spyridium globulosum, Banksia occidentalis, Olearia axillaris, Melaleuca pauciflora, Pericalymma spongiocaule and Jacksonia horrida with tall open sedges of Ficinia nodosa",Black Point Banksia occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,"Typical species include Melaleuca cuticularis, Banksia occidentalis, Acacia saligna, Rhadinothamnus anceps, Cassytha racemosa, Spyridium globulosum, Olearia axillaris, Olax phyllanthii, Agonis flexuosa, Xanthorrhoea preissii, Muehlenbeckia adpressa. Found at Black point, D�Entrecasteaux National Park
Threats: Uncontrolled vehicle access, trampling, grazing, altered hydrology, Phytophthora and acid sulphate soils.",4,Less than or equal to 5 (potentially meets location criteria EN),Quantitative analysis of data published or publically available but not peer reviewed,Increased (new knowledge - biological survey/mapping),Quantitative analysis of data published or publically available but not peer reviewed,Warren workshop,6,< 10ha (potentially meets extent of occurrence criteria for CR),Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),Warren workshop: survey,1.5,< 10ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (new knowledge - biological survey),Warren workshop,> 70% area subject to pressures/threats (but still extant),Static,Moderate severity,Worsening condition (pressures > recovery actions),Expert opinion,Warren workshop,30 to 50% area subject to pressures/threats,Worsening condition (pressures > recovery actions),Low severity,Worsening condition (pressures > recovery actions),Expert opinion,Warren workshop,Vascular plants,,,None,Priority 1,2010,"P1 - generally Less than or equal to 5 occurrences or AOO ? 100 ha, occurrences under threat ",WAR01,DEC managed land - reserves IUCN I-IV,2012,,,Recreational disturbance (specify):,"vehicles, camping, trampling, alteration of surface water flows",Recreational disturbance (specify):,"vehicles, camping, trampling, alteration of surface water flows",none,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP viii) Reserve area plan (DPaW tenure only; specify),implement Shannon and D'Entrecasteaux Management Plan,MD xii) Manage access,manage access,MI xii) Planning processes,Planning - DPaW Nature Conservation input to land use planning processes,MI xiii) Education and awareness (specify),promote appreciation of vegetation community and reduce pressure from recreational users,,,,,,
Western Australia,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify):,rabbits,Invasive/introduced herbivores (specify):,rabbits,,,,,HD i) Develop hydrological model to forecast effect on biodiversity under different water use allocations,,EV vii) Determine historical changes in EOO or AOO or degree of degradation of TECs/PEC and wetlands,finalise report on historical changes from late 1970s,CP ix) Other management plan (specify),develop threatened & priority communities management plan,MD iv) Herbivore/omnivore control or eradication ,rabbit control,,,,,,,,,,
Western Australia,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erosion,wind erosion initaited by grazing & recreation,Erosion,"wind erosion initaited by grazing, recreation & fire",,,,,,,,,,,MD vi) Habitat restoration (specify),ameliorate wind erosion,,,,,,,,,,
Western Australia,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetation dieback (specify):,Pc dieback,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,Vegetation dieback (specify):,Pc dieback,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adverse management fire (specify):,suppression action to proect toilet during bushfire,Tourism development,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,"Typical species include Melaleuca cuticularis, Banksia occidentalis, Acacia saligna, Rhadinothamnus anceps, Cassytha racemosa, Spyridium globulosum, Olearia axillaris, Olax phyllanthii, Agonis flexuosa, Xanthorrhoea preissii, Muehlenbeckia adpressa. Found at Black point, D�Entrecasteaux National Park
Threats: Uncontrolled vehicle access, trampling, grazing, altered hydrology, Phytophthora and acid sulphate soils.",4,Less than or equal to 5 (potentially meets location criteria EN),Quantitative analysis of data published or publically available but not peer reviewed,Increased (new knowledge - biological survey/mapping),Quantitative analysis of data published or publically available but not peer reviewed,Warren workshop,6,< 10ha (potentially meets extent of occurrence criteria for CR),Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),Warren workshop: survey,1.5,< 10ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (new knowledge - biological survey),Warren workshop,50 to 70% area subject to pressures/threats,Static,Moderate severity,Worsening condition (pressures > recovery actions),Expert opinion,Warren workshop,30 to 50% area subject to pressures/threats,Worsening condition (pressures > recovery actions),Low severity,Worsening condition (pressures > recovery actions),Expert opinion,Warren workshop,Vascular plants,,,None,Priority 1,2010,"P1 - generally Less than or equal to 5 occurrences or AOO ? 100 ha, occurrences under threat ",WAR01,DEC managed land - reserves IUCN I-IV,2012,,,Recreational disturbance (specify):,"vehicles, camping, trampling, alteration of surface water flows",Recreational disturbance (specify):,"vehicles, camping, trampling, alteration of surface water flows",none,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP viii) Reserve area plan (DPaW tenure only; specify),implement Shannon and D'Entrecasteaux Management Plan,MD xii) Manage access,manage access,MI xii) Planning processes,Planning - DPaW Nature Conservation input to land use planning processes,MI xiii) Education and awareness (specify),promote appreciation of vegetation community and reduce pressure from recreational users,,,,,,
WAR01,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced herbivores (specify):,rabbits,Invasive/introduced herbivores (specify):,rabbits,,,,,HD i) Develop hydrological model to forecast effect on biodiversity under different water use allocations,,EV vii) Determine historical changes in EOO or AOO or degree of degradation of TECs/PEC and wetlands,finalise report on historical changes from late 1970s,CP ix) Other management plan (specify),develop threatened & priority communities management plan,MD iv) Herbivore/omnivore control or eradication ,rabbit control,,,,,,,,,,
WAR01,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erosion,wind erosion initaited by grazing & recreation,Erosion,"wind erosion initaited by grazing, recreation & fire",,,,,,,,,,,MD vi) Habitat restoration (specify),ameliorate wind erosion,,,,,,,,,,
WAR01,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetation dieback (specify):,Pc dieback,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,Vegetation dieback (specify):,Pc dieback,,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adverse management fire (specify):,suppression action to proect toilet during bushfire,Tourism development,,,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Low forest B of Melaleuca cuticularis with Banksia occidentalis over Low Scrub B of Acacia saligna and Rhadinothamnus anceps,Black Point Melaleuca cuticularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Southwest Coastal Grassland,Coastal Grasslands,"Coastal grassland dominated by Austrostipa flavescens, Poa porphyroclados, and Desmocladus flexuosus. Sparse emergent shrubs include Olearia axillaris, Hakea prostrata, Rhagodia baccata, Leucopogon parviflorus, Spyridium globulosum, Acacia littorea, Agonis flexuosa, Olax phyllanthi, and Hibbertia cuneifolia.",1,1 (potentially meets location criteria CR),Quantitative analysis of data not publically available,Static (no change),Quantitative analysis of data not publically available,Warren workshop,N/A,N/A,-,N/A,,102,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Static (no change),Warren workshop,< 5% area subject to pressures/threats,Static,Minor or negligible severity,Static,Expert opinion,Warren workshop, < 5% area subject to pressures/threats,Static,Low severity,Static,Quantitative analysis of data not publically available,Warren workshop,Vascular plants,,,None,Priority 2,2002,"P2 - generally ? 10 occurrences or AOO ? 200 ha, some occurrences not under immediate threat",WAR01,"DEC managed land - reserves IUCN I-IV, Other public lands - roads and water bodies",2012,,"Warren workshop: past pressures, future threats, management actions",Problem native spp. (specify):,grazing by kangaroos,Problem native spp. (specify):,grazing by kangaroos,none,,,,MA v) Improving management (effectiveness of conservation actions),determine appropriate fire regime,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),adaptive management project,CP ix) Other management plan (specify),develop threatened & priority communities management plan,MD i) Fire management for biodiversity (specify),,MI xii) Planning processes,Planning - DPaW Nature Conservation input to land use planning processes,MI xiii) Education and awareness (specify),public education on cultural and historical significance of areas and use by Indigenous people,,,,,,
Western Australia,Warren,Southwest Coastal Grassland,Coastal Grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire frequency,lack of fire,Fire frequency,lack of fire,,,,,QTP ii) Quantifying threatening processes � biological communities/assemblages,determine impacts of fire and grazing on community,,,CP ix) Other management plan (specify),implement Walpole Wilderness and adjacent parks and reserves Management Plan,MD xii) Manage access,maintain gates & control recreational access,MI viii) Biosecurity measures � post border (surveillance) (specify),weed surveillance and control if appropriate,,,,,,,,
Western Australia,Warren,Southwest Coastal Grassland,Coastal Grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire seasonality ,,,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy or description of community community,floristic analysis to provide regional context to determine how community composition compared to similar habitats (eg. woody/grass mix),,,CP ix) Other management plan (specify),Warren Region Fire Management Plan,,,,,,,,,,,,
Western Australia,Warren,Southwest Coastal Grassland,Coastal Grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,,,,,,IN vii) Small-scale survey of taxa,determine invertebrate assemblage associated with grassland,,,,,,,,,,,,,,,,
Western Australia,Warren,Southwest Coastal Grassland,Coastal Grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Southwest Coastal Grassland,Coastal Grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify):,"vehicles, tracks, increased access",,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Southwest Coastal Grassland,Coastal Grasslands,"Coastal grassland dominated by Austrostipa flavescens, Poa porphyroclados, and Desmocladus flexuosus. Sparse emergent shrubs include Olearia axillaris, Hakea prostrata, Rhagodia baccata, Leucopogon parviflorus, Spyridium globulosum, Acacia littorea, Agonis flexuosa, Olax phyllanthi, and Hibbertia cuneifolia.",1,1 (potentially meets location criteria CR),Quantitative analysis of data not publically available,Static (no change),Quantitative analysis of data not publically available,Warren workshop,N/A,N/A,-,N/A,,102,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Static (no change),Warren workshop,< 5% area subject to pressures/threats,Static,Minor or negligible severity,Static,Expert opinion,Warren workshop, < 5% area subject to pressures/threats,Static,Low severity,Static,Quantitative analysis of data not publically available,Warren workshop,Vascular plants,,,None,Priority 2,2002,"P2 - generally ? 10 occurrences or AOO ? 200 ha, some occurrences not under immediate threat",WAR01,"DEC managed land - reserves IUCN I-IV, Other public lands - roads and water bodies",2012,,"Warren workshop: past pressures, future threats, management actions",Problem native spp. (specify):,grazing by kangaroos,Problem native spp. (specify):,grazing by kangaroos,none,,,,MA v) Improving management (effectiveness of conservation actions),determine appropriate fire regime,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),adaptive management project,CP ix) Other management plan (specify),develop threatened & priority communities management plan,MD i) Fire management for biodiversity (specify),,MI xii) Planning processes,Planning - DPaW Nature Conservation input to land use planning processes,MI xiii) Education and awareness (specify),public education on cultural and historical significance of areas and use by Indigenous people,,,,,,
WAR01,Warren,Southwest Coastal Grassland,Coastal Grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire frequency,lack of fire,Fire frequency,lack of fire,,,,,QTP ii) Quantifying threatening processes � biological communities/assemblages,determine impacts of fire and grazing on community,,,CP ix) Other management plan (specify),implement Walpole Wilderness and adjacent parks and reserves Management Plan,MD xii) Manage access,maintain gates & control recreational access,MI viii) Biosecurity measures � post border (surveillance) (specify),weed surveillance and control if appropriate,,,,,,,,
WAR01,Warren,Southwest Coastal Grassland,Coastal Grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire seasonality ,,,,,,SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy or description of community community,floristic analysis to provide regional context to determine how community composition compared to similar habitats (eg. woody/grass mix),,,CP ix) Other management plan (specify),Warren Region Fire Management Plan,,,,,,,,,,,,
WAR01,Warren,Southwest Coastal Grassland,Coastal Grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,,,,,,IN vii) Small-scale survey of taxa,determine invertebrate assemblage associated with grassland,,,,,,,,,,,,,,,,
WAR01,Warren,Southwest Coastal Grassland,Coastal Grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Southwest Coastal Grassland,Coastal Grasslands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify):,"vehicles, tracks, increased access",,,,,,,,,,,,,,,,,,,,,,
Western Australia,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,"Sedges/rushes to about 1.5m in height of Reedia spathacea/Empodisma gracillimum/Schoenus multiglumis with Homalospermum firmum low open shrubs to scrub. Common associates include: Acacia hastulata, Acidonia microcarpa, Actinotus laxus, Adenanthos obovatus, Boronia stricta, Cephalotus follicularis, Comesperma nudiusculum, Corybas abditus, Cosmelia  rubra ,Drosera hamiltonii, Gonocarpus simplex, Leucopogon australis, Leptocarpus tenax, Lycopodiella serpentina, Sphaerolobium rostratum, Sphenotoma gracile, Stylidium glaucum, Tetratheca filiformis, Utricularia paulineae and Xyris flexifolia. Less common associates are: Callistemon glaucus, Lepidosperma effusum and Rhadinothamnus anceps. Reedia spathacea is a major structural and possibly functional component of these wetlands and an indicator of specific wetland habitat (hydroperiod, water chemistry), vegetation floristics and condition. It is sensitive to severe or frequent fire and is preferentially grazed by feral pigs until virtual elimination from a site. A number of taxa endemic to the Warren Biogeographic Region and/or CALM Priority Species are concentrated in these wetlands including  Amperea protensa, Comesperma nudiusculum, Drosera binata, Drosera hamiltonii, Gonocarpus simplex, Schizaea rupestris, Schoenus multiglumis and Sphaerolobium rostratum. These assemblages inhabit paluslopes of peat over Tertiary coarse sand colluvium and sandy mud floodplains of leptoscale rivers and creeks. The perennially high water tables of these freshwater wetlands are primarily maintained by the humid climate, collection of rainwater from large natural catchment areas by subsurface flow into confined aquifers and water storage capacity of peat.",23,Greater than 20 (does not meet IUCN location criteria),Quantitative analysis of data not publically available,Increased (new knowledge - biological survey/mapping),Quantitative analysis of data not publically available,Warren workshop,105891,"< 200,000ha (potentially meets extent of occurrence criteria for EN)",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),Warren workshop: survey,111,"< 1,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Increased (new knowledge - biological survey),Warren workshop: survey,30 to 50% area subject to pressures/threats,Worsening condition (pressures > recovery actions),High severity,Worsening condition (pressures > recovery actions),Expert opinion,Warren workshop,30 to 50% area subject to pressures/threats,Worsening condition (pressures > recovery actions),High severity,Worsening condition (pressures > recovery actions),Expert opinion,Warren workshop,wetland,,,None,Priority 1,2002,"P1 - generally ? 5 occurrences or AOO ? 100 ha, occurrences under threat ",WAR01,"DEC managed land - reserves IUCN I-IV, Other public lands - roads and water bodies, DEC managed land - State forest/Timber reserve, Other crown reserves, Unallocated crown land",2013,,,Fire seasonality ,summer fires,"Fire regime (intensity, frequency, seasonality, scale)",all aspects of fire regime,draft in prep,,,"Current PEC, likely increase to threatened category",SC i.a) Taxonomic work to describe patterning/variability to assist alpha taxonomy or description of community community,quantify degree of variation in species composition within the assemblage,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ii) Threatened/priority ecological community recovery plan (specify),finalise IRP for PEC,MD i) Fire management for biodiversity (specify),,MI ix) Regulation - Water allocation,,MI xiii) Education and awareness (specify),"public awareness, Walpole area, community engagement",,,,,,
Western Australia,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire intensity,killed by intense fires,Invasive/introduced omnivores (specify):,pigs,,,,,Au ii) Ecological niche and life history (habitat suitability),"baseline peat community health - water quality, vegetation health, soil chemistry",EV vi) Input of existing data into DPaW�s corporate databases (specify source of data),,CP ix) Other management plan (specify),develop threatened & priority communities management plan,MD iv) Herbivore/omnivore control or eradication ,"pig control, fencing to exclude pigs",MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
Western Australia,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced omnivores (specify):,pigs,Urban development ,clearing & altered drainage from housing development,,,,,MA v) Improving management (effectiveness of conservation actions),mulching trial to address ASS,,,CP ix) Other management plan (specify),"implement Walpole Wilderness, Walpole-Nornalup NP, Shannon and D'Entrecasteaux Management Plans",MD vi) Habitat restoration (specify),mulching trial,MI xi) Regulation - environmental impact assessment,,,,,,,,,
Western Australia,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urban development ,clearing & altered drainage from housing development,Altered drainage (specify):,clearing & altered drainage from housing development,,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,,,,CP ix) Other management plan (specify),Warren Region Fire Management Plan,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altered drainage (specify):,clearing & altered drainage from housing development,Climate change (long-term reduced rainfall),"drying climate, impacts on ground and surface water hydrology",,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liaison with LGAs for management,,,,,,,,
Western Australia,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water abstraction (specify):,town water supply,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
Western Australia,Warren,Reedia spathacea - Empodisma gracillimum - Schoenus multiglumis dominated peat paluslopes and sandy mud floodplains of the Warren Biogeographical Region.,Reedia swamps - Warren region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),interaction with fire regimes,,,,,,,,,,,,,,,,,,,,,,
